iter	Passed	Remaining
0	16	16142
1	46	23165
2	229	76140
3	435	108461
4	618	123116
5	775	128537
6	927	131502
7	1088	134998
8	1287	141816
9	1484	146948
10	1663	149555
11	1678	138158
12	1853	140737
13	2044	144017
14	2251	147880
15	2270	139662
16	2478	143304
17	2666	145475
18	2847	147039
19	3035	148740
20	3226	150416
21	3415	151813
22	3623	153918
23	3813	155074
24	4000	156015
25	4192	157046
26	4382	157940
27	4575	158841
28	4762	159466
29	4940	159746
30	5128	160315
31	5318	160887
32	5515	161621
33	5712	162292
34	5894	162525
35	6081	162852
36	6092	158570
37	6291	159283
38	6484	159778
39	6492	155811
40	6708	156915
41	6893	157244
42	7081	157604
43	7278	158149
44	7296	154858
45	7493	155410
46	7684	155817
47	7861	155916
48	7872	152798
49	8075	153439
50	8279	154061
51	8470	154426
52	8724	155896
53	8903	155968
54	9091	156206
55	9108	153550
56	9296	153800
57	9491	154161
58	9513	151733
59	9732	152469
60	9750	150101
61	9933	150282
62	10134	150723
63	10319	150928
64	10504	151100
65	10712	151602
66	10887	151616
67	11076	151817
68	11265	152001
69	11454	152176
70	11642	152332
71	11766	151655
72	11953	151795
73	12167	152257
74	12190	150352
75	12384	150575
76	12578	150779
77	12768	150936
78	12953	151011
79	13145	151174
80	13339	151346
81	13358	149553
82	13554	149756
83	13759	150043
84	13937	150038
85	14129	150162
86	14322	150301
87	14511	150390
88	14701	150487
89	14732	148963
90	14748	147321
91	14934	147393
92	15126	147522
93	15315	147613
94	15504	147698
95	15696	147809
96	15871	147749
97	15889	146245
98	16082	146364
99	16268	146414
100	16284	144944
101	16478	145072
102	16665	145138
103	16843	145116
104	17033	145190
105	17221	145248
106	17414	145337
107	17599	145356
108	17806	145557
109	17993	145584
110	18186	145658
111	18378	145712
112	18586	145898
113	18796	146085
114	18992	146160
115	19211	146402
116	19411	146500
117	19607	146555
118	19812	146677
119	20001	146675
120	20192	146686
121	20383	146694
122	20578	146722
123	20778	146787
124	20960	146723
125	21155	146746
126	21343	146718
127	21543	146764
128	21740	146788
129	21919	146689
130	22112	146686
131	22309	146701
132	22509	146737
133	22710	146769
134	22897	146714
135	23096	146730
136	23293	146731
137	23489	146726
138	23682	146697
139	23874	146657
140	24072	146655
141	24267	146630
142	24455	146559
143	24644	146497
144	24815	146325
145	25002	146248
146	25196	146205
147	25389	146159
148	25578	146087
149	25771	146036
150	25959	145956
151	26148	145883
152	26346	145853
153	26544	145820
154	26774	145964
155	26955	145834
156	27143	145746
157	27330	145647
158	27527	145600
159	27715	145507
160	27881	145294
161	28073	145221
162	28277	145202
163	28468	145118
164	28653	145005
165	28839	144893
166	29035	144829
167	29256	144889
168	29488	145000
169	29690	144959
170	29882	144866
171	30082	144814
172	30277	144736
173	30472	144658
174	30673	144602
175	30856	144465
176	31047	144361
177	31233	144234
178	31428	144149
179	31628	144084
180	31810	143936
181	32023	143930
182	32237	143924
183	32455	143931
184	32661	143887
185	32841	143724
186	33036	143631
187	33225	143505
188	33447	143523
189	33655	143480
190	33858	143411
191	34049	143290
192	34254	143229
193	34494	143313
194	34695	143230
195	34885	143102
196	35081	142998
197	35270	142862
198	35462	142741
199	35652	142611
200	35835	142451
201	36021	142302
202	36216	142187
203	36416	142096
204	36616	142000
205	36793	141816
206	36985	141688
207	37174	141547
208	37361	141401
209	37555	141281
210	37740	141126
211	37922	140958
212	38137	140910
213	38331	140786
214	38522	140651
215	38712	140511
216	38904	140377
217	39092	140232
218	39103	139449
219	39324	139421
220	39524	139319
221	39534	138549
222	39742	138475
223	39951	138403
224	40179	138396
225	40372	138265
226	40569	138151
227	40758	138006
228	40937	137829
229	41121	137668
230	41308	137517
231	41514	137426
232	41734	137383
233	41925	137243
234	42119	137112
235	42323	137013
236	42537	136946
237	42741	136845
238	42952	136764
239	43228	136890
240	43457	136863
241	43652	136730
242	43834	136553
243	44040	136454
244	44238	136327
245	44446	136230
246	44647	136110
247	44857	136018
248	45084	135978
249	45094	135284
250	45300	135179
251	45516	135104
