Студент,Группа,Дисциплина,Семестр,Учебный год,Оценка,Специальность,Форма обучения,Квалификация,Статус
2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Анализ и диагностика финансово-хозяйственной деятельности предприятий,10,2019/2020,4,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Бухгалтерский учет,6,2017/2018,3,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Корпоративные финансы,8,2018/2019,4,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Макроэкономика,2,2015/2016,3,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Маркетинг,3,2016/2017,3,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Национальная экономика,7,2018/2019,3,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Организация производства на предприятиях,5,2017/2018,3,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Теория бухгалтерского учета,4,2016/2017,3,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
2B2F594F58715179766342613567424C58306B4776513D3D,6B727348445775796A74686C5A43745849626B6245513D3D,Физическая химия,4,2012/2013,2,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",Заочная,Бакалавр,Отчисленный
2B3242586235356D525A677A493141454B34667249413D3D,7030614C424745562F44776245684544484C423745773D3D,Дефекты в твердых телах и модифицирование материалов,3,2016/2017,2,03.04.02 Физика,Очная,Магистр,Отчисленный
2B3242586235356D525A677A493141454B34667249413D3D,7030614C424745562F44776245684544484C423745773D3D,"Изотопный, химический и структурный анализ поверхности методами атомной физики",3,2016/2017,2,03.04.02 Физика,Очная,Магистр,Отчисленный
2B3242586235356D525A677A493141454B34667249413D3D,7030614C424745562F44776245684544484C423745773D3D,Компьютерные технологии в науке и образовании,1,2015/2016,4,03.04.02 Физика,Очная,Магистр,Отчисленный
2B3272765979562B38442B4363364B4A396B527475413D3D,766C362F4B6E664E3576504F6F7865596D6A777435513D3D,Технологический проект,10,2019/2020,2,18.03.01 Химическая технология,Заочная,Бакалавр,Отчисленный
2B35594A6E7359432B7671747853694A785A54464C513D3D,6F4F686974634C6541314B757546485A512B594562413D3D,Начертательная геометрия и инженерная графика 1.4,2,2015/2016,4,21.03.01 Нефтегазовое дело,Заочная,Бакалавр,Отчисленный
2B35594A6E7359432B7671747853694A785A54464C513D3D,6F4F686974634C6541314B757546485A512B594562413D3D,Планирование и обработка экспериментальных данных,8,2018/2019,2,21.03.01 Нефтегазовое дело,Заочная,Бакалавр,Отчисленный
2B372B6777514F535468327441705557575A352B6A773D3D,69654F797949377A585769762F32712B7330767354413D3D,Ядерно-физические и электронно-микроскопические методы исследования вещества,3,2016/2017,2,05.04.06 Экология и природопользование,Очная,Магистр,Отчисленный
2B41566C72437872494D356F7673772B4731724C4D413D3D,4544766A4474464A4A4C6D346955504C6835544864673D3D,Механика 2.2,4,2016/2017,2,12.03.01 Приборостроение,Очная,Бакалавр,Отчисленный
2B41566C72437872494D356F7673772B4731724C4D413D3D,4544766A4474464A4A4C6D346955504C6835544864673D3D,Микропроцессорные средства и системы,6,2017/2018,4,12.03.01 Приборостроение,Очная,Бакалавр,Отчисленный
2B41566C72437872494D356F7673772B4731724C4D413D3D,4544766A4474464A4A4C6D346955504C6835544864673D3D,Физические основы получения информации,5,2017/2018,3,12.03.01 Приборостроение,Очная,Бакалавр,Отчисленный
2B4157422F3966352B2B56416A59384534744C6A39513D3D,4D785466786F7158514572757A49616D634F55485A673D3D,Механика 2.2,4,2016/2017,2,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
2B4157422F3966352B2B56416A59384534744C6A39513D3D,4D785466786F7158514572757A49616D634F55485A673D3D,Электрические машины,5,2017/2018,3,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
2B417054616F666752457051796337324E54306238773D3D,3845457A6962695A757163695454737A5178595058773D3D,Методы исследования наноматериалов,8,2012/2013,2,22.04.01 Материаловедение и технологии материалов,Очная,Магистр,Отчисленный
2B417054616F666752457051796337324E54306238773D3D,3845457A6962695A757163695454737A5178595058773D3D,Технологии получения наноматериалов,7,2012/2013,2,22.04.01 Материаловедение и технологии материалов,Очная,Магистр,Отчисленный
2B433448646666316A6652746C7638555437455430773D3D,4672797852596D5538586332724759494141677054513D3D,Использование вычислительных комплексов в решении прикладных задач,1,2014/2015,4,13.04.01 Теплоэнергетика и теплотехника,Очная,Магистр,Отчисленный
2B433448646666316A6652746C7638555437455430773D3D,4672797852596D5538586332724759494141677054513D3D,Использование вычислительных комплексов в решении прикладных задач,1,2015/2016,4,13.04.01 Теплоэнергетика и теплотехника,Очная,Магистр,Отчисленный
2B433448646666316A6652746C7638555437455430773D3D,4672797852596D5538586332724759494141677054513D3D,Физико-химические основы тепломассообменных процессов,3,2016/2017,3,13.04.01 Теплоэнергетика и теплотехника,Очная,Магистр,Отчисленный
2B433448646666316A6652746C7638555437455430773D3D,4672797852596D5538586332724759494141677054513D3D,Ядерные энергетические установки,2,2014/2015,4,13.04.01 Теплоэнергетика и теплотехника,Очная,Магистр,Отчисленный
2B433448646666316A6652746C7638555437455430773D3D,4672797852596D5538586332724759494141677054513D3D,Ядерные энергетические установки,2,2015/2016,4,13.04.01 Теплоэнергетика и теплотехника,Очная,Магистр,Отчисленный
2B436A5A522B3742546B7547574D6A6956544A376D413D3D,6451463468426646784A51323136756A77476C594D773D3D,Механика 2.2,4,2016/2017,2,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
2B436A5A522B3742546B7547574D6A6956544A376D413D3D,6451463468426646784A51323136756A77476C594D773D3D,Электрические машины,5,2017/2018,3,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
2B4465336A3745564C597163636468574A67546E64773D3D,5450663733346934364E78766D626C316455535435413D3D,Оборудование для производства и переработки полимерных материалов,3,2016/2017,2,18.04.01 Химическая технология,Очная,Магистр,Отчисленный
2B4465336A3745564C597163636468574A67546E64773D3D,5450663733346934364E78766D626C316455535435413D3D,Экспериментальные методы исследования полимеризации и структуры полимеров,3,2016/2017,2,18.04.01 Химическая технология,Очная,Магистр,Отчисленный
2B4467372F52716A30717A4E446E45446B69473748773D3D,6544575949744377463067367830775A7968413448513D3D,Информационное обеспечение инновационной деятельности,7,2018/2019,2,27.03.05 Инноватика,Очная,Бакалавр,Отчисленный
2B4467372F52716A30717A4E446E45446B69473748773D3D,6544575949744377463067367830775A7968413448513D3D,Математика 1.1,1,2015/2016,2,27.03.05 Инноватика,Очная,Бакалавр,Отчисленный
2B4467372F52716A30717A4E446E45446B69473748773D3D,6544575949744377463067367830775A7968413448513D3D,Экономика 2.6,6,2017/2018,4,27.03.05 Инноватика,Очная,Бакалавр,Отчисленный
2B49444738445937517830394839333058646C6D4D413D3D,575A2B2F7833485750583746373771336D422B5750413D3D,Аудит,9,2019/2020,3,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
2B49444738445937517830394839333058646C6D4D413D3D,575A2B2F7833485750583746373771336D422B5750413D3D,Корпоративные финансы,8,2018/2019,4,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
2B49444738445937517830394839333058646C6D4D413D3D,575A2B2F7833485750583746373771336D422B5750413D3D,Макроэкономика,2,2015/2016,4,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
2B49444738445937517830394839333058646C6D4D413D3D,575A2B2F7833485750583746373771336D422B5750413D3D,Маркетинг,3,2016/2017,4,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
2B49444738445937517830394839333058646C6D4D413D3D,575A2B2F7833485750583746373771336D422B5750413D3D,Национальная экономика,7,2018/2019,3,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
2B49444738445937517830394839333058646C6D4D413D3D,575A2B2F7833485750583746373771336D422B5750413D3D,Экономика фирмы,7,2018/2019,4,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
2B4D343166727936365072666D5973347276524639673D3D,664471705034617664396978427831663072544A47673D3D,Механика 2.2,4,2016/2017,2,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
2B4D343166727936365072666D5973347276524639673D3D,664471705034617664396978427831663072544A47673D3D,Силовая электроника,5,2017/2018,4,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
2B4D343166727936365072666D5973347276524639673D3D,664471705034617664396978427831663072544A47673D3D,Электрические и электронные аппараты,6,2017/2018,4,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
2B4D343166727936365072666D5973347276524639673D3D,664471705034617664396978427831663072544A47673D3D,Электрические машины,5,2017/2018,4,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
2B4D343166727936365072666D5973347276524639673D3D,664471705034617664396978427831663072544A47673D3D,Электрооборудование промышленности,8,2018/2019,4,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
2B4D386569306937466C79527539315875514A3878773D3D,324579706B624C62793435746A6B6A674434446630513D3D,Интеллектуальные системы электроснабжения с возобновляемыми энергоисточниками,3,2016/2017,4,13.04.02 Электроэнергетика и электротехника,Очная,Магистр,Отчисленный
2B4E457533522B574231567963462F436A67536A42773D3D,36334C514538365548516D4E654F4874673370376B673D3D,CADCAMCAE - системы в программных пакетах,1,2015/2016,2,15.04.05 Конструкторско-технологическое обеспечение машиностроительных производств,Очная,Магистр,Отчисленный
2B4F746D4E712B33772F4A39645442484251785435773D3D,5643756335554537764F36684E76374C5554333077773D3D,Крепление и заканчивание скважин в осложнённых условиях,3,2016/2017,3,21.04.01 Нефтегазовое дело,Очная,Магистр,Отчисленный
2B506969695250614938677075512F554C46526664413D3D,397357535572685378532F30476F544F6264794F4A413D3D,Детали машин и основы проектирования 2,6,2017/2018,2,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
2B506969695250614938677075512F554C46526664413D3D,397357535572685378532F30476F544F6264794F4A413D3D,"Метрология, стандартизация и сертификация 1.1",5,2017/2018,2,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
2B506969695250614938677075512F554C46526664413D3D,397357535572685378532F30476F544F6264794F4A413D3D,Резание материалов и режущий инструмент,7,2018/2019,4,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
2B506969695250614938677075512F554C46526664413D3D,397357535572685378532F30476F544F6264794F4A413D3D,Теоретическая механика 2,3,2016/2017,2,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
2B506969695250614938677075512F554C46526664413D3D,397357535572685378532F30476F544F6264794F4A413D3D,Технология машиностроения,8,2018/2019,4,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
2B506969695250614938677075512F554C46526664413D3D,397357535572685378532F30476F544F6264794F4A413D3D,Экономика 2.3,6,2017/2018,4,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
2B51307A76375A526C7763467972466E654A4B724E673D3D,6C3058494D4A2B7A6B432B6247614F336A51793937413D3D,Оборудование производств органического синтеза,3,2016/2017,2,18.04.01 Химическая технология,Очная,Магистр,Отчисленный
2B51307A76375A526C7763467972466E654A4B724E673D3D,6C3058494D4A2B7A6B432B6247614F336A51793937413D3D,Экспериментальные методы исследования структуры органических веществ,3,2016/2017,2,18.04.01 Химическая технология,Очная,Магистр,Отчисленный
2B51437678786E5832477658305875644F2B43712F673D3D,5378345538793646334874496F752B627363724170413D3D,"Метрология, стандартизация и сертификация",5,2016/2017,3,15.03.01 Машиностроение,Заочная,Бакалавр,Отчисленный
2B5233374A5832537949455953335769612B586A2F513D3D,39326B6D5665434D33364C63566247556C654E5031773D3D,Научно-исследовательская работа в семестре,2,2015/2016,1,09.04.01 Информатика и вычислительная техника,Очная,Магистр,Отчисленный
2B54634A622B3879483548564E78695A324A65505A513D3D,305655636F36424D4A646C336D6F46457139634C46413D3D,"Метрология, стандартизация и сертификация",5,2015/2016,3,15.03.01 Машиностроение,Заочная,Бакалавр,Отчисленный
2B55336F72496732666361475039427039504D2F54673D3D,6A752B6671443130304D4334476D766E68437A6D66513D3D,Основы теории эксперимента,2,2015/2016,4,27.04.02 Управление качеством,Очная,Магистр,Отчисленный
2B55336F72496732666361475039427039504D2F54673D3D,6A752B6671443130304D4334476D766E68437A6D66513D3D,Средства и методы управления качеством,3,2016/2017,2,27.04.02 Управление качеством,Очная,Магистр,Отчисленный
2B55336F72496732666361475039427039504D2F54673D3D,6A752B6671443130304D4334476D766E68437A6D66513D3D,Экономика качества,2,2015/2016,4,27.04.02 Управление качеством,Очная,Магистр,Отчисленный
2B5956564572494D663670724F4F5A357171663831413D3D,4F68324539314B556645666F66337A397843706A73413D3D,Механика 2.2,4,2016/2017,2,22.03.01 Материаловедение и технологии материалов,Очная,Бакалавр,Отчисленный
2B5957793630323556384E714742684B326E79722F413D3D,6E63616653703134306F3342756C61586F566E4652673D3D,Исследование и испытание котлов,3,2016/2017,4,13.04.03 Энергетическое машиностроение,Очная,Магистр,Отчисленный
2B5957793630323556384E714742684B326E79722F413D3D,6E63616653703134306F3342756C61586F566E4652673D3D,Ресурсоэффективные технологии в теплогенерирующих установках,2,2015/2016,4,13.04.03 Энергетическое машиностроение,Очная,Магистр,Отчисленный
2B5A6A34375934686E504E39644A74307855453067773D3D,6736317467326C4C61737358344B556132394E3076773D3D,Механика 2.2,4,2016/2017,2,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
2B6549335A5867452B6951654278524F7476344F4C673D3D,6B4A4653434D59427A4979477251456C44756B4D45673D3D,Теория и свойства кристаллов и неупорядоченных материалов,1,2015/2016,4,03.04.02 Физика,Очная,Магистр,Отчисленный
2B6A637A706B6D42366F5A3838786E6E4A352F4A46513D3D,442B5536746D57336846366E7668652B7A64643455413D3D,Пожарная безопасность технологических процессов в машиностроении,7,2018/2019,2,20.03.01 Техносферная безопасность,Заочная,Бакалавр,Отчисленный
2B6A637A706B6D42366F5A3838786E6E4A352F4A46513D3D,442B5536746D57336846366E7668652B7A64643455413D3D,Правовые основы гражданской защиты,7,2018/2019,2,20.03.01 Техносферная безопасность,Заочная,Бакалавр,Отчисленный
2B6A637A706B6D42366F5A3838786E6E4A352F4A46513D3D,442B5536746D57336846366E7668652B7A64643455413D3D,Производственная и пожарная автоматика,6,2017/2018,2,20.03.01 Техносферная безопасность,Заочная,Бакалавр,Отчисленный
2B6A637A706B6D42366F5A3838786E6E4A352F4A46513D3D,442B5536746D57336846366E7668652B7A64643455413D3D,Управление техносферной безопасностью,8,2018/2019,2,20.03.01 Техносферная безопасность,Заочная,Бакалавр,Отчисленный
2B6B504558466A4C2B674669584E575768584C5338773D3D,4730656B70777A444C54364A387766424458487273413D3D,Организация и ведение аварийно-спасательных работ,7,2018/2019,4,20.03.01 Техносферная безопасность,Очная,Бакалавр,Отчисленный
2B6B572B37427A315A2F694B467A70773972754F72413D3D,356B6F712F2F35546E623052664F464A6D68694474673D3D,Микропроцессорная техника и встраиваемые системы,7,2018/2019,2,15.03.04 Автоматизация технологических процессов и производств,Заочная,Бакалавр,Отчисленный
2B6B572B37427A315A2F694B467A70773972754F72413D3D,356B6F712F2F35546E623052664F464A6D68694474673D3D,Экономика 2.6,6,2017/2018,4,15.03.04 Автоматизация технологических процессов и производств,Заочная,Бакалавр,Отчисленный
2B6B7A744F54335956656C725463306D7968366867773D3D,467530707A6D4239325544734D33682F436259646B773D3D,Методы создания продуцентов биологически активных веществ,3,2016/2017,2,18.04.01 Химическая технология,Очная,Магистр,Отчисленный
2B6B7A744F54335956656C725463306D7968366867773D3D,467530707A6D4239325544734D33682F436259646B773D3D,Ресурсоэффективность фармацевтических производств и прикладные аспекты биофармации,3,2016/2017,2,18.04.01 Химическая технология,Очная,Магистр,Отчисленный
2B7138506F57484473624B37683655664761713838673D3D,2B4D317874375270385676514F5566345354707957513D3D,Детали машин и основы проектирования 2,6,2017/2018,2,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
2B7138506F57484473624B37683655664761713838673D3D,2B4D317874375270385676514F5566345354707957513D3D,"Метрология, стандартизация и сертификация 1.1",5,2017/2018,2,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
2B7138506F57484473624B37683655664761713838673D3D,2B4D317874375270385676514F5566345354707957513D3D,Резание материалов и режущий инструмент,7,2018/2019,3,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
2B7138506F57484473624B37683655664761713838673D3D,2B4D317874375270385676514F5566345354707957513D3D,Экономика 2.3,6,2017/2018,4,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
2B7238315A6A6D67796432592B63677557666F4868773D3D,4F38367A38395079576258584B316244666738796C513D3D,Электрические машины,5,2017/2018,3,13.03.02 Электроэнергетика и электротехника,Заочная,Бакалавр,Отчисленный
2B7238315A6A6D67796432592B63677557666F4868773D3D,4F38367A38395079576258584B316244666738796C513D3D,Электрооборудование промышленности,10,2019/2020,3,13.03.02 Электроэнергетика и электротехника,Заочная,Бакалавр,Отчисленный
