,Студент,Группа,Дисциплина,Семестр,Учебный год,Оценка,Специальность,Форма обучения,Квалификация,Статус
1335,3773507475695A684141722B357A426C3648544977773D3D,3358325548567A4476755A2B2B486E726A64655779773D3D,Творческий проект,2,2015/2016,зачтено,18.05.02 Химическая технология материалов современной энергетики,Очная,Специалист,Учащийся
1336,7879783158767272794A50436B5648574E68513947773D3D,3358325548567A4476755A2B2B486E726A64655779773D3D,Творческий проект,2,2015/2016,зачтено,18.05.02 Химическая технология материалов современной энергетики,Очная,Специалист,Учащийся
1337,7450627335743550513578734E6639594C6B513138513D3D,3358325548567A4476755A2B2B486E726A64655779773D3D,Творческий проект,2,2015/2016,зачтено,18.05.02 Химическая технология материалов современной энергетики,Очная,Специалист,Учащийся
1381,72764E473762665A73372B55556634793969306553413D3D,4535577972527046526672654B4768316B32634432673D3D,Творческий проект,2,2013/2014,зачтено,15.03.04 Автоматизация технологических процессов и производств,Очная,Бакалавр,Отчисленный
1382,554F6F737478513348712F4B59756A5659426F4C77413D3D,4535577972527046526672654B4768316B32634432673D3D,Творческий проект,2,2013/2014,зачтено,15.03.04 Автоматизация технологических процессов и производств,Очная,Бакалавр,Отчисленный
1407,4D62733147695A6A3767376F4876582F524B716C50513D3D,344F58415866436D464F6A7A6A4B6577644D635169673D3D,Творческий проект,2,2013/2014,зачтено,13.03.01 Теплоэнергетика и теплотехника,Заочная,Бакалавр,Учащийся
1495,72413733563265477652456942395A6A7031726546673D3D,4364566C6B3534514B5175317979645A6145587868673D3D,Творческий проект,2,2014/2015,зачтено,21.05.03 Технология геологической разведки,Очная,Специалист,Отчисленный
1742,706F47734F74715753413259726572547636684544513D3D,6F4F686974634C6541314B757546485A512B594562413D3D,Творческий проект,2,2014/2015,зачтено,21.03.01 Нефтегазовое дело,Заочная,Бакалавр,Отчисленный
1893,3064454B3557487735425255416272764368776334513D3D,596730306A55565236696877354D74674B49476832413D3D,Творческий проект,2,2014/2015,зачтено,27.03.05 Инноватика,Очная,Бакалавр,Отчисленный
2201,706B495846646B546979682B526B52373241447736673D3D,6F46344857794F4D4C7552744B682B527275345674413D3D,Творческий проект,3,2016/2017,зачтено,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
2202,6D4D4C4B43706C47476642694E7744316A48666A31513D3D,57786A4B725A396754784B776346724C6F4F31416E673D3D,Творческий проект,3,2016/2017,зачтено,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
2203,66617536305544396D4B624F52736C6D2B6B384F5A673D3D,4D785466786F7158514572757A49616D634F55485A673D3D,Творческий проект,3,2016/2017,зачтено,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
2204,2B4D343166727936365072666D5973347276524639673D3D,664471705034617664396978427831663072544A47673D3D,Творческий проект,3,2016/2017,зачтено,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
2205,3278485976514E31484D7055716E68746E5663436E413D3D,4275757651775A574B43505466614D4848367A4A30413D3D,Творческий проект,3,2016/2017,зачтено,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
2206,4B4C637165516A6758397150376E71685131767A43773D3D,334E304E5971414D664D3852434957354A31515A7A773D3D,Творческий проект,3,2016/2017,зачтено,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
2376,2F41454A38434174376B795854416F75364E583563513D3D,4A75536339543148733174464A78594D65717A5333773D3D,Творческий проект,3,2014/2015,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
3344,6643785941527545645756396A613736416A725051413D3D,4B4D526D4861694E2F2B6C6E434A74445A6D354952413D3D,Творческий проект,2,2012/2013,зачтено,09.03.02 Информационные системы и технологии,Очная,Бакалавр,Отчисленный
3352,52743351566275653344362F6F5365472B73695641673D3D,4730656B70777A444C54364A387766424458487273413D3D,Творческий проект,2,2015/2016,зачтено,20.03.01 Техносферная безопасность,Очная,Бакалавр,Отчисленный
3353,516B6541724D734446396A4C6D7170684B4D554E34673D3D,4730656B70777A444C54364A387766424458487273413D3D,Творческий проект,2,2015/2016,зачтено,20.03.01 Техносферная безопасность,Очная,Бакалавр,Отчисленный
3354,665A31585371464F632F745556377155753062476E773D3D,4730656B70777A444C54364A387766424458487273413D3D,Творческий проект,2,2015/2016,зачтено,20.03.01 Техносферная безопасность,Очная,Бакалавр,Отчисленный
3355,50536B356E78686C417A7735516A7A452F41546130673D3D,4730656B70777A444C54364A387766424458487273413D3D,Творческий проект,2,2015/2016,зачтено,20.03.01 Техносферная безопасность,Очная,Бакалавр,Отчисленный
3356,473741524F46457968794C616451316471594F7257413D3D,4730656B70777A444C54364A387766424458487273413D3D,Творческий проект,2,2015/2016,зачтено,20.03.01 Техносферная безопасность,Очная,Бакалавр,Отчисленный
3357,675656596D31754636566777447353345379755143513D3D,726E774F6A2F377A52315A794B4635344531312F38673D3D,Творческий проект,2,2015/2016,незачет,20.03.01 Техносферная безопасность,Очная,Бакалавр,Отчисленный
3358,675656596D31754636566777447353345379755143513D3D,726E774F6A2F377A52315A794B4635344531312F38673D3D,Творческий проект,2,2015/2016,неудовлетворительно,20.03.01 Техносферная безопасность,Очная,Бакалавр,Отчисленный
