,Unnamed: 0,Студент,Группа,Дисциплина,Семестр,Учебный год,Оценка,Специальность,Форма обучения,Квалификация,Статус
3335,3357,675656596D31754636566777447353345379755143513D3D,726E774F6A2F377A52315A794B4635344531312F38673D3D,Творческий проект,2,2015/2016,незачет,20.03.01 Техносферная безопасность,Очная,Бакалавр,Отчисленный
4206,4274,314767524B46674742576F735A76664D6E6D565156673D3D,56377066462B31686D4C564F544D39315847644A76673D3D,Творческий проект,3,2015/2016,незачет,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
5475,5572,78385052323672526B613331505875576341674E37773D3D,44556372766F6E6F4931434A5A746962377555594E673D3D,Творческий проект,3,2013/2014,незачет,38.03.02 Менеджмент,Заочная,Бакалавр,Отчисленный
5812,5914,646A41706170654A61454D7A467955536462557563673D3D,3944744346354E4573647753344471574858706870673D3D,Творческий проект,3,2013/2014,незачет,13.03.02 Электроэнергетика и электротехника,Заочная,Бакалавр,Отчисленный
6230,6341,744E50506674672B6B6F7735534C5465324E4D5759413D3D,374E59516733776D634C4773766831586768425675413D3D,Творческий проект,3,2013/2014,незачет,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
6796,6924,54553268583742492B536676436C76696A47617657673D3D,4275757651775A574B43505466614D4848367A4A30413D3D,Творческий проект,4,2013/2014,незачет,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
7112,7251,5A4C326845782B4E4E457769393147565438345349513D3D,6178312B72625174465A6B4A7277576E7074694A69513D3D,Творческий проект,2,2013/2014,незачет,09.03.01 Информатика и вычислительная техника,Очная,Бакалавр,Отчисленный
8222,8410,7149616838533232354C314745666A52624177686D413D3D,38306D4F566F344C74465556643531723148346739413D3D,Творческий проект,4,2013/2014,незачет,15.03.01 Машиностроение,Заочная,Бакалавр,Отчисленный
8567,8772,3246676C56492F79444F73314A33672B3967685832773D3D,4E6C535448777A5A4C6367644B477671516F5A6E70773D3D,Творческий проект,4,2013/2014,незачет,18.03.01 Химическая технология,Заочная,Бакалавр,Отчисленный
8872,9101,4C724136533535434F744E524F5744564D45376134513D3D,43436B6C76574E482B44436670354371654E68764E413D3D,Творческий проект,4,2013/2014,незачет,03.03.02 Физика,Очная,Бакалавр,Отчисленный
