,Студент,Группа,Дисциплина,Семестр,Учебный год,Оценка,Специальность,Форма обучения,Квалификация,Статус
19497,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Информатика 1.1,1,2015/2016,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
31148,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Экология,1,2015/2016,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
32789,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Правоведение,1,2015/2016,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
34058,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Макроэкономика,2,2015/2016,хорошо,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
40347,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Математика 1.4,1,2015/2016,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
45102,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Концепции современного естествознания 1.2,1,2015/2016,отлично,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
49592,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Введение в профессиональную деятельность,1,2015/2016,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
51882,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Микроэкономика,1,2015/2016,хорошо,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
72072,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Иностранный язык (английский),1,2015/2016,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
82525,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,История,2,2015/2016,отлично,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
84886,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Макроэкономика,2,2015/2016,удовлетворительно,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
87461,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Учебно-исследовательская работа студентов,2,2015/2016,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
90839,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Институциональная экономика,2,2015/2016,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
93753,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Математика 1.4,2,2015/2016,отлично,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
