Студент,Группа,Дисциплина,Семестр,Учебный год,Оценка,Специальность,Форма обучения,Квалификация,Статус
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Химия,1,2011/2012,удовлетворительно,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,История,1,2011/2012,удовлетворительно,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Иностранный язык (английский),1,2011/2012,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Дифференциальное исчисление,1,2011/2012,удовлетворительно,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Информатика,1,2011/2012,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Физическая культура и спорт,1,2011/2012,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Экология,1,2011/2012,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Линейная алгебра и аналитическая геометрия,1,2011/2012,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Начертательная геометрия и компьютерная графика,1,2011/2012,удовлетворительно,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Начертательная геометрия и компьютерная графика,2,2011/2012,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Иностранный язык (английский),2,2011/2012,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Интегральное исчисление,2,2011/2012,удовлетворительно,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Физика 1,2,2011/2012,удовлетворительно,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Теоретическая механика,2,2011/2012,удовлетворительно,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Технология конструкционных материалов,2,2011/2012,удовлетворительно,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Физическая культура и спорт,2,2011/2012,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Информатика,2,2011/2012,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Иностранный язык (английский),3,2012/2013,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Сопротивление материалов,3,2012/2013,удовлетворительно,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Физика 2,3,2012/2013,удовлетворительно,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Физическая культура и спорт,3,2012/2013,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Дифференциальные уравнения,3,2012/2013,удовлетворительно,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Философия,3,2012/2013,удовлетворительно,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Теоретическая механика,3,2012/2013,удовлетворительно,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Математическое моделирование,3,2012/2013,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Теория машин и механизмов,4,2012/2013,незачет,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Термодинамика,4,2012/2013,незачет,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Механика жидкости и газа,4,2012/2013,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Физика 3,4,2012/2013,удовлетворительно,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Иностранный язык (английский),4,2012/2013,удовлетворительно,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Электротехника и электроника,4,2012/2013,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Теория машин и механизмов,4,2012/2013,удовлетворительно,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Физическая культура и спорт,4,2012/2013,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
42477A384446554E566E55587779514855326A5674413D3D,4A75536339543148733174464A78594D65717A5333773D3D,Спецглавы математики,4,2012/2013,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
